Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
74        ,mp-1029542,Na6MoN4   ,      53.0,      53.0,36.0      ,0.22      ,1.9       ,44.31215642666667,     4.667,0.030057479318180924
75        ,mp-1029550,Ca2CrN3   ,      95.0,      93.0,21.0      ,0.35      ,1.94      ,35.36026666666667,     7.923,         0
76        ,mp-1029574,Na5OsN4   ,      40.0,      40.0,14.0      ,0.33      ,1.9       ,75.74215642666665,     1.546,0.016061584250001815
77        ,mp-1029580,Sr4ZrN4   ,      73.0,      69.0,25.0      ,0.32      ,2.19      ,64.28356666666666,     5.374,         0
78        ,mp-1029592,Li3YN2    ,      81.0,      81.0,42.0      ,0.27      ,2.12      ,  36.61785,     6.187,         0
79        ,mp-1029595,Na3OsN2   ,      41.0,      41.0,20.0      ,0.28      ,1.9       ,75.74215642666665,     2.079,         0
80        ,mp-1029616,Ba(TaN2)2 ,      41.0,      41.0,25.0      ,0.24      ,2.53      ,110.76052666666668,     2.739,         0
81        ,mp-1029640,Ba3OsN3   ,      48.0,      48.0,26.0      ,0.27      ,2.53      ,113.85456666666668,     2.949,         0
82        ,mp-1029652,Y3Si6N11  ,     143.0,     142.0,90.0      ,0.23      ,2.12      ,43.66601666666667,    13.509,         0
83        ,mp-1029655,Sr3WN3    ,      57.0,      56.0,30.0      ,0.27      ,2.19      ,95.15556666666669,      4.08,         0
84        ,mp-1029656,Na6WN4    ,      55.0,      54.0,37.0      ,0.22      ,1.93      ,73.61215642666666,     5.111,0.01779171954545422
85        ,mp-1029659,Ca3FeN3   ,      77.0,      76.0,46.0      ,0.25      ,1.94      ,36.643233333333335,     6.279,         0
86        ,mp-1029660,Ca4ZrN4   ,      87.0,      86.0,38.0      ,0.3       ,2.06      ,48.43623333333334,     6.367,         0
87        ,mp-1029702,MgTiN2    ,     162.0,     161.0,65.0      ,0.29      ,1.76      ,28.72623333333333,    13.181,0.023152481249999468
88        ,mp-1029719,Ca3MoN3   ,      57.0,      56.0,18.0      ,0.32      ,1.94      ,50.00823333333333,     3.946,         0
89        ,mp-1029730,Ca4HfN4   ,      89.0,      88.0,39.0      ,0.3       ,2.08      ,   77.5249,      6.77,         0
90        ,mp-1029737,Ca4VN4    ,      88.0,      87.0,42.0      ,0.28      ,1.94      ,35.00873333333333,     6.799,0.0417584838888887
